"Periods";"Regions";"GDP (market prices) (million euros)"
"2015";"Groningen (PV)";24958
"2016";"Groningen (PV)";23460
"2017";"Groningen (PV)";24036
"2018";"Groningen (PV)";24557
"2019";"Groningen (PV)";24848
"2020";"Groningen (PV)";22993
"2021*";"Groningen (PV)";26203
"2022*";"Groningen (PV)";32566
"2015";"Fryslân (PV)";18208
"2016";"Fryslân (PV)";18430
"2017";"Fryslân (PV)";19101
"2018";"Fryslân (PV)";19989
"2019";"Fryslân (PV)";21206
"2020";"Fryslân (PV)";21179
"2021*";"Fryslân (PV)";22932
"2022*";"Fryslân (PV)";25490
"2015";"Drenthe (PV)";13848
"2016";"Drenthe (PV)";13916
"2017";"Drenthe (PV)";14423
"2018";"Drenthe (PV)";15166
"2019";"Drenthe (PV)";15717
"2020";"Drenthe (PV)";15438
"2021*";"Drenthe (PV)";16897
"2022*";"Drenthe (PV)";18434
"2015";"Overijssel (PV)";37914
"2016";"Overijssel (PV)";39497
"2017";"Overijssel (PV)";41183
"2018";"Overijssel (PV)";43504
"2019";"Overijssel (PV)";45728
"2020";"Overijssel (PV)";45282
"2021*";"Overijssel (PV)";49530
"2022*";"Overijssel (PV)";53172
"2015";"Flevoland (PV)";12123
"2016";"Flevoland (PV)";12630
"2017";"Flevoland (PV)";13233
"2018";"Flevoland (PV)";13836
"2019";"Flevoland (PV)";14536
"2020";"Flevoland (PV)";14523
"2021*";"Flevoland (PV)";15898
"2022*";"Flevoland (PV)";17303
"2015";"Gelderland (PV)";68832
"2016";"Gelderland (PV)";71082
"2017";"Gelderland (PV)";74525
"2018";"Gelderland (PV)";78193
"2019";"Gelderland (PV)";82081
"2020";"Gelderland (PV)";81931
"2021*";"Gelderland (PV)";88748
"2022*";"Gelderland (PV)";95416
"2015";"Utrecht (PV)";63145
"2016";"Utrecht (PV)";64514
"2017";"Utrecht (PV)";68226
"2018";"Utrecht (PV)";71923
"2019";"Utrecht (PV)";76995
"2020";"Utrecht (PV)";77049
"2021*";"Utrecht (PV)";83278
"2022*";"Utrecht (PV)";88660
"2015";"Noord-Holland (PV)";146561
"2016";"Noord-Holland (PV)";152850
"2017";"Noord-Holland (PV)";159337
"2018";"Noord-Holland (PV)";168862
"2019";"Noord-Holland (PV)";179531
"2020";"Noord-Holland (PV)";169827
"2021*";"Noord-Holland (PV)";185203
"2022*";"Noord-Holland (PV)";203766
"2015";"Zuid-Holland (PV)";148117
"2016";"Zuid-Holland (PV)";151492
"2017";"Zuid-Holland (PV)";155893
"2018";"Zuid-Holland (PV)";162089
"2019";"Zuid-Holland (PV)";169016
"2020";"Zuid-Holland (PV)";167106
"2021*";"Zuid-Holland (PV)";181185
"2022*";"Zuid-Holland (PV)";200451
"2015";"Zeeland (PV)";12363
"2016";"Zeeland (PV)";12631
"2017";"Zeeland (PV)";12945
"2018";"Zeeland (PV)";13792
"2019";"Zeeland (PV)";14237
"2020";"Zeeland (PV)";14272
"2021*";"Zeeland (PV)";15223
"2022*";"Zeeland (PV)";17839
"2015";"Noord-Brabant (PV)";101630
"2016";"Noord-Brabant (PV)";104697
"2017";"Noord-Brabant (PV)";110427
"2018";"Noord-Brabant (PV)";115561
"2019";"Noord-Brabant (PV)";121244
"2020";"Noord-Brabant (PV)";120839
"2021*";"Noord-Brabant (PV)";132852
"2022*";"Noord-Brabant (PV)";143315
"2015";"Limburg (PV)";38976
"2016";"Limburg (PV)";40972
"2017";"Limburg (PV)";42600
"2018";"Limburg (PV)";44277
"2019";"Limburg (PV)";46139
"2020";"Limburg (PV)";45236
"2021*";"Limburg (PV)";49889
"2022*";"Limburg (PV)";54104
